cell.comb,cor.coef,cor.pval,gep.coef,gep.pval,avg_prop.x,avg_prop.y,avg_prop.product,psd.pval,log_psd.pval,log_cor.pval
Neuron-T.NPC,0.332060628882887,0,0.415920488356838,6.91884617266785e-66,0.0675403202588098,0.0216261921260176,0.00146063994216978,5.86312830582722e-75,170.925198672822,500
Neuron-T.Cycle,-0.0767034977941015,3.9308128975404e-64,0.24344245785223,2.40002525769628e-22,0.0675403202588098,0.0325724665149274,0.00219995482003756,4.77510204068824e-65,148.104615701131,63.4055176276375
Neuron-T.OPC,-0.0865015467361859,4.04026862764835e-81,0.250362583694484,1.396475204882e-23,0.0675403202588098,0.0245497816020892,0.00165810011168894,4.71843542495818e-22,49.1053947789855,80.3935897587441
Neuron-T.AST,-0.0673958825552309,6.82785030880837e-50,0.307996931070792,2.05597343321986e-35,0.0675403202588098,0.031864887934009,0.00215216473607405,0.999999999901225,9.87750982005176e-11,49.1657160087599
Neuron-T.MES1,-0.222370818295227,0,0.301080208101281,7.64973531400204e-34,0.0675403202588098,0.0561534483229138,0.00379262188336612,0.662126019165828,0.412299379883853,500
Neuron-T.MES2,-0.173151654808381,1.18575755001899e-322,0.303285324221719,2.44075716097074e-34,0.0675403202588098,0.272191996073069,0.0183839345866598,0.996894161552519,0.00311067157357865,321.926004101404
Neuron-T.Fiber,-0.182482794411321,0,0.0708028010190642,0.0052910161961906,0.0675403202588098,0.061354935043393,0.00414393196228923,1.7390269930533e-06,13.2621848005428,500
Neuron-Oligodendrocyte,0.0061955888006497,0.172658445893432,0.263766591876396,4.3879904975338e-26,0.0675403202588098,0.0574641332612716,0.00388114596386121,1.16544977104918e-32,73.5296158937274,0.762812172511762
Neuron-Myeloid,-0.429418090800857,0,0.0344544354577438,0.175168963174761,0.0675403202588098,0.164496251559615,0.0111101295117101,2.79768440598915e-60,137.126313502474,500
Neuron-Lymphocyte,-0.00541342402289078,0.233439201553226,-0.000662620439520591,0.979204417048338,0.0675403202588098,0.0316804651860097,0.00213970876461117,0.830538263758782,0.185681277830843,0.631826210892797
Neuron-Endothelial,-0.122933611788993,1.83999340777578e-162,0.00982478948723228,0.699126681486217,0.0675403202588098,0.0478114169614043,0.00322919841360074,0.265361410193269,1.32666257009281,161.735183732953
Neuron-Astrocyte,0.0201318783426308,9.35211827555928e-06,0.233323006327822,1.3115348539336e-20,0.0675403202588098,0.13069370515647,0.00882709470207847,1,2.86808448980869e-33,5.02909000932078
T.NPC-T.Cycle,-0.0365913449267233,7.83541318179973e-16,0.672989787068103,5.40634031803497e-205,0.0216261921260176,0.0325724665149274,0.000704418418870097,0.0106977221027196,4.53772444777436,15.1059380971093
T.NPC-T.OPC,-0.0360886299987261,1.92658783034066e-15,0.566188879216498,4.3005060943584e-132,0.0216261921260176,0.0245497816020892,0.000530918293578554,0.00744911362463795,4.8996602302276,14.7152111873451
T.NPC-T.AST,-0.0712447107838181,1.47754998775371e-55,0.563890214102158,8.27964568722617e-131,0.0216261921260176,0.031864887934009,0.0006891161885349,0.747108019595935,0.291545499757452,54.8304578173581
T.NPC-T.MES1,-0.107334930042344,4.18312078073275e-124,0.474423985123645,8.23174997959176e-88,0.0216261921260176,0.0561534483229138,0.00121438526196974,0.0224512075166889,3.79641087930542,123.378499595699
T.NPC-T.MES2,-0.185822487806544,0,0.685702042104712,8.73473893769605e-216,0.0216261921260176,0.272191996073069,0.00588647640224044,0.923207843606937,0.0799008871563595,500
T.NPC-T.Fiber,-0.109030368276326,5.12615599943175e-128,0.203946119172989,5.13524568936737e-16,0.0216261921260176,0.061354935043393,0.00132687361312775,4.58063560929374e-07,14.5962578831394,127.29020818148
T.NPC-Oligodendrocyte,0.0388194357373376,1.25579480771619e-17,0.207626857490641,1.4834475613745e-16,0.0216261921260176,0.0574641332612716,0.00124273038626334,1.69746212989811e-24,54.7329079609936,16.9010813169337
T.NPC-Myeloid,-0.195599900330806,0,0.024365351843224,0.337743518951156,0.0216261921260176,0.164496251559615,0.00355742754023796,1.21439401634851e-32,73.4884777754116,500
T.NPC-Lymphocyte,-0.026966075600639,2.91123923907489e-09,0.0565565331259908,0.0259727549672427,0.0216261921260176,0.0316804651860097,0.000685127826754258,0.0103492129562123,4.5708448050402,8.53592210375362
T.NPC-Endothelial,-0.0762708662530544,1.98276839810657e-63,0.0599703760792985,0.0182131196454886,0.0216261921260176,0.0478114169614043,0.00103397888902447,0.694737059805951,0.364221836217113,62.7027280116134
T.NPC-Astrocyte,0.0197918914366102,1.31990462408612e-05,0.35740464058364,6.49596083900549e-48,0.0216261921260176,0.13069370515647,0.00282640717737493,2.30419378932071e-16,36.0066306386599,4.87945744964992
T.Cycle-T.OPC,0.193601447062836,0,0.736110887631241,1.12974065168667e-264,0.0325724665149274,0.0245497816020892,0.000799646939182832,0.525463585468896,0.643474386082514,500
T.Cycle-T.AST,0.000641137269909144,0.887775609665108,0.815768530104851,0,0.0325724665149274,0.031864887934009,0.00103791799523242,0.999838403373099,0.000161609685042233,0.0516967907516998
T.Cycle-T.MES1,-0.0109160084332855,0.0162713475006438,0.664482849726737,4.54507473138816e-198,0.0325724665149274,0.0561534483229138,0.00182905631519582,0.797181316605816,0.226673127187805,1.78857647976988
T.Cycle-T.MES2,-0.108933987714485,8.58692305726532e-128,0.701423420717008,6.34832973057774e-230,0.0325724665149274,0.272191996073069,0.00886596467772131,0.488554635777739,0.716303969786658,127.06616242856
T.Cycle-T.Fiber,-0.0911322323456249,7.2667629859679e-90,0.26482667189171,2.74189270182191e-26,0.0325724665149274,0.061354935043393,0.00199848156722646,3.23489914801354e-06,12.6415128057637,89.1386590046017
T.Cycle-Oligodendrocyte,-0.024275587425787,9.089914957893e-08,0.0908545624660753,0.000341664902264335,0.0325724665149274,0.0574641332612716,0.0018717485564621,1.28701213782104e-23,52.7071337791972,7.0414401798683
T.Cycle-Myeloid,-0.0532743897525634,8.48777351316314e-32,0.0109327223556325,0.667132124130254,0.0325724665149274,0.164496251559615,0.00535804864575663,5.43369714360085e-21,46.6616671770271,31.0712062176194
T.Cycle-Lymphocyte,-0.0683630785149907,2.7566102784344e-51,0.0288467796310524,0.256367434557193,0.0325724665149274,0.0316804651860097,0.00103191089144862,0.00547907718428907,5.20681858923013,50.5596246288486
T.Cycle-Endothelial,0.0249527119699149,3.94838463279189e-08,0.0765174997537464,0.00257414377975172,0.0325724665149274,0.0478114169614043,0.00155733577800657,0.763900448158623,0.269317801763149,7.40358054704533
T.Cycle-Astrocyte,-0.163966344859936,4.29943115844953e-289,0.356983482200481,8.4933106141749e-48,0.0325724665149274,0.13069370515647,0.00425701633492093,6.37945133838399e-14,30.3831092053764,288.366589000488
T.OPC-T.AST,-0.0472800837742302,2.17334429088368e-25,0.716880357320923,9.22229560613672e-245,0.0245497816020892,0.031864887934009,0.000782276039554968,0.122985305195276,2.09569040070393,24.6628714693597
T.OPC-T.MES1,0.0332551834844183,2.44749636245202e-13,0.645600740462206,1.73461828349263e-183,0.0245497816020892,0.0561534483229138,0.00137855489253174,0.879864420218826,0.12798745131272,12.6112779449868
T.OPC-T.MES2,-0.117781757151867,3.32525648297083e-149,0.586573281839005,6.11991179767207e-144,0.0245497816020892,0.272191996073069,0.00668225405743058,0.736110124641901,0.306375545573947,148.47817485116
T.OPC-T.Fiber,-0.0898176794197978,2.45884586434905e-87,0.179846307011257,9.81473504614114e-13,0.0245497816020892,0.061354935043393,0.00150625025552567,0.00561099817814607,5.18302664690662,86.6092686946695
T.OPC-Oligodendrocyte,0.0266717327365036,4.31337594424158e-09,0.14574620246892,8.20417816343447e-09,0.0245497816020892,0.0574641332612716,0.00141073192151757,4.80136384730894e-16,35.2724614754935,8.36518268806451
T.OPC-Myeloid,-0.0506966306199601,5.98747241533618e-29,0.00552247225076116,0.828016479857375,0.0245497816020892,0.164496251559615,0.00403834705015087,1.44975880171277e-15,34.1673791959612,28.2227564743949
T.OPC-Lymphocyte,-0.0248830684544409,4.306252765053e-08,0.00882301414396144,0.728524506289402,0.0245497816020892,0.0316804651860097,0.000777748501369128,0.70251334954382,0.353090875045437,7.36590048188691
T.OPC-Endothelial,-0.0217463653851379,1.69197182953029e-06,0.0570194795124144,0.0247761847029463,0.0245497816020892,0.0478114169614043,0.0011737598444889,0.0153455142499239,4.17693207893212,5.77160687201886
T.OPC-Astrocyte,-0.0883076278453796,1.78004502185133e-84,0.364804801801501,5.46883149945504e-50,0.0245497816020892,0.13069370515647,0.00320850191835919,5.37546546897668e-21,46.6724417837313,83.7495690131437
T.AST-T.MES1,-0.0237688270210244,1.67281151800514e-07,0.843246637251822,0,0.031864887934009,0.0561534483229138,0.00178932333791781,0.0245160750152506,3.70842625351464,6.77655298988141
T.AST-T.MES2,-0.108125193394973,6.39719435605565e-126,0.794965221561674,0,0.031864887934009,0.272191996073069,0.00867336745140257,0.163303138444151,1.81214706030399,125.194010454585
